"LotArea","GrLivArea","TotalBsmtSF","YearBuilt","GarageCars","SalePrice","Neighborhood","BldgType","HouseStyle","ExterQual","CentralAir","MSZoning"
8450,1710,856,2003,2,208500,"CollgCr","1Fam","2Story","Gd","Y","RL"
9600,1262,1262,1976,2,181500,"Veenker","1Fam","1Story","TA","Y","RL"
11250,1786,920,2001,2,223500,"CollgCr","1Fam","2Story","Gd","Y","RL"
9550,1717,756,1915,3,140000,"Crawfor","1Fam","2Story","TA","Y","RL"
14260,2198,1145,2000,3,250000,"NoRidge","1Fam","2Story","Gd","Y","RL"
14115,1362,796,1993,2,143000,"Mitchel","1Fam","1.5Fin","TA","Y","RL"
10084,1694,1686,2004,2,307000,"Somerst","1Fam","1Story","Gd","Y","RL"
10382,2090,1107,1973,2,200000,"NWAmes","1Fam","2Story","TA","Y","RL"
6120,1774,952,1931,2,129900,"OldTown","1Fam","1.5Fin","TA","Y","RM"
7420,1077,991,1939,1,118000,"BrkSide","2fmCon","1.5Unf","TA","Y","RL"
11200,1040,1040,1965,1,129500,"Sawyer","1Fam","1Story","TA","Y","RL"
11924,2324,1175,2005,3,345000,"NridgHt","1Fam","2Story","Ex","Y","RL"
12968,912,912,1962,1,144000,"Sawyer","1Fam","1Story","TA","Y","RL"
10652,1494,1494,2006,3,279500,"CollgCr","1Fam","1Story","Gd","Y","RL"
10920,1253,1253,1960,1,157000,"NAmes","1Fam","1Story","TA","Y","RL"
6120,854,832,1929,2,132000,"BrkSide","1Fam","1.5Unf","TA","Y","RM"
11241,1004,1004,1970,2,149000,"NAmes","1Fam","1Story","TA","Y","RL"
10791,1296,0,1967,2,90000,"Sawyer","Duplex","1Story","TA","Y","RL"
13695,1114,1114,2004,2,159000,"SawyerW","1Fam","1Story","TA","Y","RL"
7560,1339,1029,1958,1,139000,"NAmes","1Fam","1Story","TA","Y","RL"
14215,2376,1158,2005,3,325300,"NridgHt","1Fam","2Story","Gd","Y","RL"
7449,1108,637,1930,1,139400,"IDOTRR","1Fam","1.5Unf","TA","Y","RM"
9742,1795,1777,2002,2,230000,"CollgCr","1Fam","1Story","Gd","Y","RL"
4224,1060,1040,1976,2,129900,"MeadowV","TwnhsE","1Story","TA","Y","RM"
8246,1060,1060,1968,1,154000,"Sawyer","1Fam","1Story","TA","Y","RL"
14230,1600,1566,2007,3,256300,"NridgHt","1Fam","1Story","Gd","Y","RL"
7200,900,900,1951,2,134800,"NAmes","1Fam","1Story","TA","Y","RL"
11478,1704,1704,2007,3,306000,"NridgHt","1Fam","1Story","Gd","Y","RL"
16321,1600,1484,1957,1,207500,"NAmes","1Fam","1Story","TA","Y","RL"
6324,520,520,1927,1,68500,"BrkSide","1Fam","1Story","TA","N","RM"
8500,1317,649,1920,1,40000,"IDOTRR","1Fam","2Story","TA","N","C (all)"
8544,1228,1228,1966,1,149350,"Sawyer","1Fam","1Story","TA","Y","RL"
11049,1234,1234,2007,2,179900,"CollgCr","1Fam","1Story","Gd","Y","RL"
10552,1700,1398,1959,2,165500,"NAmes","1Fam","1Story","TA","Y","RL"
7313,1561,1561,2005,2,277500,"NridgHt","TwnhsE","1Story","Ex","Y","RL"
13418,2452,1117,2004,3,309000,"NridgHt","1Fam","2Story","Gd","Y","RL"
10859,1097,1097,1994,2,145000,"CollgCr","1Fam","1Story","TA","Y","RL"
8532,1297,1297,1954,2,153000,"NAmes","1Fam","1Story","TA","Y","RL"
7922,1057,1057,1953,1,109000,"NAmes","1Fam","1Story","TA","Y","RL"
6040,1152,0,1955,0,82000,"Edwards","Duplex","1Story","TA","N","RL"
8658,1324,1088,1965,2,160000,"NAmes","1Fam","1Story","TA","Y","RL"
16905,1328,1350,1959,1,170000,"Timber","1Fam","1Story","TA","Y","RL"
9180,884,840,1983,2,144000,"SawyerW","1Fam","SFoyer","TA","Y","RL"
9200,938,938,1975,1,130250,"CollgCr","1Fam","1Story","TA","Y","RL"
7945,1150,1150,1959,1,141000,"NAmes","1Fam","1Story","TA","Y","RL"
7658,1752,1752,2005,2,319900,"NridgHt","TwnhsE","1Story","Ex","Y","RL"
12822,2149,1434,2003,2,239686,"Mitchel","1Fam","1.5Fin","Gd","Y","RL"
11096,1656,1656,2006,3,249700,"Somerst","1Fam","1Story","Gd","Y","FV"
4456,1452,736,1920,0,113000,"OldTown","2fmCon","2Story","TA","Y","RM"
7742,955,955,1966,1,127000,"Sawyer","1Fam","1Story","TA","Y","RL"
13869,1470,794,1997,2,177000,"Gilbert","1Fam","2Story","TA","Y","RL"
6240,1176,816,1934,2,114500,"BrkSide","1Fam","1.5Fin","TA","Y","RM"
8472,816,816,1963,2,110000,"IDOTRR","Duplex","1Story","Fa","N","RM"
50271,1842,1842,1981,3,385000,"Veenker","1Fam","1Story","Gd","Y","RL"
7134,1360,384,1955,2,130000,"NAmes","1Fam","SLvl","TA","Y","RL"
10175,1425,1425,1964,2,180500,"NAmes","1Fam","1Story","TA","Y","RL"
2645,1739,970,1999,2,172500,"Somerst","Twnhs","2Story","Gd","Y","FV"
11645,1720,860,2004,2,196500,"CollgCr","1Fam","2Story","Gd","Y","RL"
13682,2945,1410,2006,3,438780,"StoneBr","1Fam","2Story","Ex","Y","RL"
7200,780,780,1972,1,124900,"CollgCr","1Fam","1Story","TA","Y","RL"
13072,1158,1158,2004,2,158000,"SawyerW","1Fam","1Story","TA","Y","RL"
7200,1111,530,1920,1,101000,"IDOTRR","1Fam","2.5Unf","TA","N","RM"
6442,1370,1370,2006,2,202500,"NridgHt","TwnhsE","1Story","Gd","Y","RL"
10300,1710,576,1921,2,140000,"OldTown","1Fam","2Story","TA","Y","RM"
9375,2034,1057,1997,2,219500,"CollgCr","1Fam","2Story","TA","Y","RL"
9591,2473,1143,2004,3,317000,"NridgHt","1Fam","2Story","Gd","Y","RL"
19900,2207,1947,1970,2,180000,"NAmes","1Fam","1Story","TA","Y","RL"
10665,1479,1453,2003,2,226000,"CollgCr","1Fam","1Story","Gd","Y","RL"
4608,747,747,1945,1,80000,"OldTown","1Fam","1Story","TA","Y","RM"
15593,2287,1304,1953,2,225000,"ClearCr","1Fam","1.5Fin","Gd","Y","RL"
13651,2223,2223,1973,2,244000,"NAmes","1Fam","1Story","TA","Y","RL"
7599,845,845,1982,2,129500,"Mitchel","1Fam","1Story","TA","Y","RL"
10141,1718,832,1998,2,185000,"Gilbert","1Fam","2Story","TA","Y","RL"
10200,1086,1086,1954,2,144900,"NAmes","1Fam","1Story","TA","Y","RL"
5790,1605,840,1915,1,107400,"OldTown","1Fam","2Story","Gd","N","RM"
1596,988,462,1973,1,91000,"MeadowV","Twnhs","SLvl","TA","Y","RM"
8475,952,952,1956,1,135750,"NAmes","1Fam","1Story","TA","Y","RL"
8635,1285,672,1948,1,127000,"BrkSide","1Fam","1.5Fin","TA","Y","RM"
10778,1768,1768,1968,0,136500,"Sawyer","Duplex","1Story","TA","N","RL"
10440,1230,440,1910,2,110000,"OldTown","1Fam","2Story","TA","Y","RM"
13000,2142,896,1968,1,193500,"NAmes","1Fam","2Story","TA","Y","RL"
4500,1337,1237,1998,2,153500,"Mitchel","TwnhsE","1Story","TA","Y","RM"
10206,1563,1563,2007,3,245000,"Somerst","1Fam","1Story","TA","Y","RL"
8892,1065,1065,1960,2,126500,"NAmes","1Fam","1Story","TA","Y","RL"
8530,1474,384,1995,2,168500,"Gilbert","1Fam","SLvl","TA","Y","RL"
16059,2417,1288,1991,2,260000,"NoRidge","1Fam","2Story","Gd","Y","RL"
11911,1560,684,2005,2,174000,"Gilbert","1Fam","2Story","Gd","Y","RL"
3951,1224,612,2009,2,164500,"Somerst","TwnhsE","2Story","Gd","Y","FV"
8470,1526,1013,1915,0,85000,"IDOTRR","1Fam","1.5Fin","Fa","N","C (all)"
8070,990,990,1994,0,123600,"CollgCr","1Fam","1Story","TA","Y","RL"
7200,1040,0,1950,2,109900,"NAmes","1Fam","1Story","TA","Y","RL"
8500,1235,1235,1961,2,98600,"NAmes","1Fam","1Story","TA","Y","RL"
13360,964,876,1921,2,163500,"Crawfor","1Fam","1Story","TA","Y","RL"
7200,2291,1214,1910,2,133900,"OldTown","2fmCon","2.5Unf","TA","N","C (all)"
9337,1786,824,1997,2,204750,"CollgCr","1Fam","2Story","TA","Y","RL"
9765,1470,680,1993,2,185000,"Gilbert","1Fam","2Story","Ex","Y","RL"
10264,1588,1588,1999,2,214000,"CollgCr","1Fam","1Story","Gd","Y","RL"
10921,960,960,1965,1,94750,"Edwards","1Fam","1Story","TA","Y","RL"
10625,835,458,1920,1,83000,"Edwards","1Fam","1Story","TA","N","RL"
9320,1225,950,1959,0,128950,"NAmes","1Fam","1Story","TA","Y","RL"
10603,1610,1610,1977,2,205000,"NWAmes","1Fam","1Story","TA","Y","RL"
9206,1732,741,1985,2,178000,"SawyerW","1Fam","2Story","Gd","Y","RL"
7018,1535,0,1979,2,118964,"SawyerW","Duplex","1Story","TA","Y","RL"
10402,1226,1226,2009,3,198900,"CollgCr","1Fam","1Story","TA","Y","RL"
7758,1818,1040,1931,1,169500,"IDOTRR","1Fam","1.5Fin","TA","Y","RM"
9375,1992,1053,2003,2,250000,"Somerst","1Fam","2Story","Gd","Y","FV"
