"SalePrice","GrLivArea","LotArea","OverallQual","GarageArea","TotalBsmtSF","YearBuilt"
228000,2097,11228,7,678,1080,1993
62383,864,8281,5,360,864,1965
501837,2234,17423,9,1166,2216,2008
176000,1266,7500,7,453,1257,2005
127000,864,7180,5,352,864,1972
253000,1971,9675,7,689,1113,2005
197500,1868,10304,5,484,780,1976
190000,1923,10186,7,564,750,1992
130000,874,9858,5,288,864,1968
378500,2018,13214,9,746,2002,2008
287000,2263,9240,8,905,1055,2001
137500,1513,6120,5,180,939,1920
423000,2097,20896,8,1134,2077,2005
141000,1375,9000,6,544,780,1937
179540,1456,9018,7,400,728,2007
135000,1271,21286,5,312,720,1948
117000,833,5400,5,326,833,1954
133900,768,7200,5,396,768,1972
157500,1478,17600,6,498,1478,1960
203000,1504,11883,7,478,1504,1996
83000,987,1953,6,264,483,1973
130500,1200,11767,5,240,768,1946
256300,1600,14230,8,890,1566,2007
211000,1796,9531,6,546,794,1998
98000,864,5604,5,0,864,1925
117500,925,9100,5,429,925,1965
138000,816,6600,5,816,816,1982
284000,2046,10625,7,871,998,2003
125000,752,7175,6,264,744,1984
141000,1800,8000,5,0,1800,1961
245350,1694,10475,8,776,1694,2008
133000,767,4058,7,367,723,1998
86000,630,1526,4,286,630,1970
125500,902,6173,5,288,876,1967
184900,1200,10083,7,555,1176,2003
556581,2868,16056,9,716,1992,2005
169990,1316,10237,6,397,1316,2005
145000,1958,7136,6,492,979,1946
82500,861,12342,4,539,861,1940
235128,1580,11932,8,830,1580,2007
169900,1034,12328,6,888,1012,1976
127500,1355,10106,5,0,644,1940
210000,1436,8450,7,484,1436,2004
333168,2599,14774,9,779,1393,1999
181900,1429,14585,6,572,1144,1960
129500,845,7599,4,360,845,1982
137000,860,8740,5,528,840,1982
115000,864,10500,4,0,864,1971
143000,848,4426,6,420,848,2004
152000,1370,10400,7,479,1090,1976
190000,1993,14803,6,495,825,1971
235000,2263,16659,7,539,795,1977
201000,1560,9196,7,573,1560,2003
160000,1324,8658,6,440,1088,1965
85400,987,1680,6,264,483,1971
123600,990,8070,4,0,990,1994
188500,1432,7795,7,432,716,2004
186500,1553,8125,7,615,756,2005
446261,2713,14948,9,858,1452,2008
144000,1167,8731,5,495,915,1920
114500,912,10150,5,275,912,1958
236000,2256,8795,7,554,952,2000
175500,1242,9600,7,528,1242,1973
194201,1402,3922,7,648,1258,2006
90000,2337,13600,5,560,662,1900
745000,4476,15623,10,813,2396,1996
162000,1320,7750,7,400,660,2003
101800,1224,9842,4,462,0,1962
123000,1319,10634,5,270,608,1953
165500,1700,10552,5,447,1398,1959
402861,2020,12220,10,900,2006,2009
144000,912,12968,5,352,912,1962
80000,747,4608,4,220,747,1945
156000,1026,7930,6,440,1026,1969
280000,2172,14154,7,947,1063,2006
132500,954,10780,5,576,911,1976
177500,1494,7500,6,213,771,1942
129900,816,7100,5,308,816,1957
176000,1978,9900,7,486,832,1968
149900,985,8385,5,328,985,1977
188000,1724,8924,7,527,880,1998
159895,1266,3182,7,388,1266,2007
233230,1919,15611,8,685,1079,2006
179200,1294,7153,6,496,1278,1991
173500,1476,8633,6,540,738,2005
180000,988,21453,6,540,938,1969
239500,2020,9828,8,466,1128,1995
392500,1652,5587,8,482,1600,2008
252000,1953,10574,8,1043,1082,2005
89471,1131,5925,4,672,907,1937
180000,2207,19900,7,576,1947,1970
85000,1022,7200,5,280,1022,1910
181000,1690,8063,6,463,924,2000
152000,1616,5400,6,216,1149,1926
194000,1240,8556,7,826,1240,2006
170000,1088,3696,8,461,1074,1986
197900,1779,10400,7,546,866,1998
89500,987,1680,6,264,483,1971
118500,1029,7943,4,261,1029,1961
78000,1192,6402,5,189,596,1920
120500,864,6960,4,660,864,1970
128000,958,4928,6,440,1078,1976
186000,1212,10420,6,460,1212,2009
207500,2090,5062,7,577,1190,1984
157900,1442,9750,6,301,1442,1958
125500,1360,7200,5,297,803,1938
201000,1466,8925,8,610,1466,2007
350000,2224,8834,9,738,1462,2004
79000,1440,5000,5,352,540,1900
213000,1775,9317,7,425,740,1993
119000,1252,9600,6,288,1032,1950
197000,1725,11584,7,550,539,1979
314813,1828,11694,9,774,1822,2007
208900,1493,13125,6,508,1478,1997
122000,969,10356,5,440,969,1975
230500,1936,11194,8,504,1406,2000
196500,1714,10421,7,496,980,1988
320000,2462,19378,7,576,1392,2005
125000,1200,11340,6,312,1200,1923
135000,1389,3378,7,240,651,1946
105000,1376,9492,5,240,768,1941
87000,803,5000,5,360,720,1941
232000,1616,8688,7,834,1616,2005
107900,901,6000,4,281,901,1954
128900,1050,9600,5,338,1050,1956
126000,1734,10125,5,539,0,1977
109000,1057,7922,5,246,1057,1953
93000,936,6000,4,576,936,1953
125000,1164,10880,5,240,1164,1950
143000,1214,10355,5,318,1214,1967
188000,1728,9297,5,560,1728,1976
143000,1473,25095,5,452,1437,1968
179900,1442,10357,7,719,910,1990
235000,1865,10316,7,839,992,2000
148500,1456,2280,6,440,855,1976
128500,988,9945,5,572,988,1961
91000,790,6292,6,160,768,1930
120000,912,7535,5,297,912,1958
125000,1365,2368,5,440,765,1970
266000,1684,8849,9,564,1684,2005
161000,1666,5100,8,228,588,1925
143000,1632,25000,5,576,1632,1967
262280,2329,11839,7,514,1475,1990
200500,1682,8750,6,523,804,1998
175000,1647,7917,6,460,953,1999
262000,1624,12461,8,757,1624,1994
219500,1740,13125,7,240,800,1940
303477,2610,9000,8,550,1184,2007
39300,334,5000,1,0,0,1946
211000,2060,10029,6,521,1151,1988
108000,1126,8777,4,520,0,1949
109500,784,6130,5,0,784,1924
126500,1065,8892,5,461,1065,1960
82500,1411,11900,7,544,1386,1977
114504,1368,3600,6,216,684,1910
55000,1092,5600,4,0,0,1930
283463,1776,15306,8,712,1732,2006
109900,904,7162,5,408,876,1966
102776,1178,8712,4,384,859,1900
103600,1369,6629,6,300,672,1925
177000,1357,11512,6,312,1019,1959
176000,1132,7024,4,451,1132,2005
169500,1812,7590,5,264,864,1962
165000,1502,10592,6,180,602,1923
193000,1593,7415,6,398,839,2004
127000,1691,5000,5,308,1026,1924
82000,1152,6040,4,0,0,1955
150000,1244,11988,6,336,1244,1957
